"Id","Label","Weight"
"_focus_","Flipped",11.5325625946708
"computing_","computing",1.4142135623731
"embracing_","embracing",1.4142135623731
"teded_","teded",1.4142135623731
"_class","class",2
"_classroom","classroom",8.54400374531753
"_classrooms","classrooms",3
"_learning","learning",4
"_lessons","lessons",1.4142135623731
"_model","model",1.4142135623731
"_style","style",1.4142135623731
