"Id","Label","Weight"
"_focus_","Connectivist",13.1529464379659
"called_","called",1.73205080756888
"social_","social",2
"spanish_","spanish",1.73205080756888
"_course","course",3.60555127546399
"_learning","learning",4.12310562561766
"_mooc","mooc",2
"_taxonomy","taxonomy",2.23606797749979
