"Source","Target","Type","Weight"
"massive_","_focus_","Directed",3.16435259928964
"_focus_","_access","Directed",5.00484339683565
"_focus_","_course","Directed",1.84049079754601
"_focus_","_courses","Directed",2.19567323216015
"_focus_","_data","Directed",3.97158540523087
"_focus_","_education","Directed",3.97158540523087
"_focus_","_educational","Directed",4.13303196641912
"_focus_","_learning","Directed",2.16338391992251
"_focus_","_online","Directed",6.32870519857927
"_focus_","_source","Directed",8.75040361640297
"_focus_","_standards","Directed",3.64869228285438
"_focus_","_university","Directed",3.06748466257669
