"Id","Label","Weight"
"_focus_","Seamless",6.32455532033676
"enable_","enable",1
"humancentred_","humancentred",1
"include_","include",1.4142135623731
"looks_","looks",1
"offers_","offers",1
"proactive_","proactive",1
"provide_","provide",1
"relatively_","relatively",1
"_access","access",1.73205080756888
"_integration","integration",2.64575131106459
