"Source","Target","Type","Weight"
"_focus_","_access","Directed",5.74834437086093
"_focus_","_content","Directed",2.19867549668874
"_focus_","_data","Directed",2.41059602649007
"_focus_","_education","Directed",4.66225165562914
"_focus_","_educational","Directed",6.41059602649007
"_focus_","_learning","Directed",1.58940397350993
"_focus_","_online","Directed",1.56291390728477
"_focus_","_source","Directed",13.8543046357616
"_focus_","_standards","Directed",1.50993377483444
"_focus_","_university","Directed",4.66225165562914
"_focus_","_web","Directed",1.5364238410596
