"Source","Target","Type","Weight"
"allowing_","_focus_","Directed",3.03030303030303
"apparently_","_focus_","Directed",3.03030303030303
"experience_","_focus_","Directed",6.06060606060606
"facilitate_","_focus_","Directed",3.03030303030303
"flow_","_focus_","Directed",3.03030303030303
"pretty_","_focus_","Directed",3.03030303030303
"programs_","_focus_","Directed",3.03030303030303
"provides_","_focus_","Directed",3.03030303030303
"theres_","_focus_","Directed",3.03030303030303
"_focus_","_access","Directed",6.06060606060606
"_focus_","_instant","Directed",6.06060606060606
"_focus_","_integration","Directed",18.1818181818182
