"Id","Label","Weight"
"_focus_","Open",117.145209035624
"_access","access",28.1957443597434
"_content","content",16
"_data","data",20.5426385841741
"_education","education",25.0199920063936
"_educational","educational",28.6705423736629
"_learning","learning",15.9059737205869
"_online","online",19.4679223339318
"_source","source",41.0121933088198
"_standards","standards",17.2046505340853
"_university","university",23.388031127053
