"Id","Label","Weight"
"_focus_","Open",55.6506963119061
"massive_","massive",9.89949493661167
"_access","access",12.4498995979887
"_course","course",7.54983443527075
"_courses","courses",8.24621125123532
"_data","data",11.0905365064094
"_education","education",11.0905365064094
"_educational","educational",11.3137084989848
"_learning","learning",8.18535277187245
"_online","online",14
"_source","source",16.4620776331543
"_standards","standards",10.6301458127346
"_university","university",9.74679434480896
